                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                 0.8083,                 2.5409,                0.24107,                0.63919,                 1.0331,                0.66232,                0.57143,                0.60909,                0.31397,                0.48706,                0.21429,                0.13388,                0.04789,                 1.5483,                 6.7441,                0.35341,                  1.562,                 1.7743,             0.00036179,             0.00036179,             0.00036179
                     23,                 1.1367,                 3.0019,                0.30849,                0.74101,                 1.1823,                0.66232,                0.57143,                0.60909,                0.31397,                0.48706,                0.21429,                0.13388,                0.04789,                 1.5483,                 6.7441,                0.35341,                  1.562,                 1.7743,             0.00037611,             0.00037611,             0.00037611
                     24,                 1.2013,                 1.9222,                 0.4125,                0.70064,                 1.1988,                0.66232,                0.57143,                0.60909,                0.31397,                0.48706,                0.21429,                0.13388,                0.04789,                 1.5483,                 6.7441,                0.35341,                  1.562,                 1.7743,             0.00039017,             0.00039017,             0.00039017
                     25,                 1.4462,                 2.8895,                 0.3002,                 1.1739,                 1.3539,                0.64871,                0.42857,                 0.5607,                0.25999,                0.40376,                0.21429,                  0.118,                0.04838,                 1.6982,                  6.963,                0.36611,                 1.7903,                 1.8569,             0.00040397,             0.00040397,             0.00040397
                     26,                0.89487,                  2.577,                0.27818,                0.75183,                 1.0844,                0.64871,                0.42857,                 0.5607,                0.25999,                0.40376,                0.21429,                  0.118,                0.04838,                 1.6982,                  6.963,                0.36611,                 1.7903,                 1.8569,              0.0004175,              0.0004175,              0.0004175
                     27,                  1.286,                 3.3338,                0.32332,                 1.0306,                 1.2977,                0.64871,                0.42857,                 0.5607,                0.25999,                0.40376,                0.21429,                  0.118,                0.04838,                 1.6982,                  6.963,                0.36611,                 1.7903,                 1.8569,             0.00043077,             0.00043077,             0.00043077
                     28,                 1.2393,                 4.1789,                0.39817,                 1.0044,                 1.2804,                0.76897,                    0.5,                0.58359,                0.27673,                0.46717,                0.14286,                 0.0939,                0.04844,                 1.7796,                 7.2508,                  0.371,                 2.0306,                  1.835,             0.00044377,             0.00044377,             0.00044377
                     29,                  1.088,                 3.0116,                0.47079,                0.73958,                 1.1416,                0.76897,                    0.5,                0.58359,                0.27673,                0.46717,                0.14286,                 0.0939,                0.04844,                 1.7796,                 7.2508,                  0.371,                 2.0306,                  1.835,             0.00045651,             0.00045651,             0.00045651
                     30,                 1.1025,                 2.5458,                0.30449,                0.85511,                 1.3644,                0.76897,                    0.5,                0.58359,                0.27673,                0.46717,                0.14286,                 0.0939,                0.04844,                 1.7796,                 7.2508,                  0.371,                 2.0306,                  1.835,             0.00046899,             0.00046899,             0.00046899
                     31,                 1.3063,                 2.6727,                 0.4034,                0.71399,                 1.1783,                0.50816,                0.57143,                0.49651,                0.22652,                0.18548,                0.21429,                0.08229,                0.03597,                  1.783,                 7.2625,                0.39357,                 2.2289,                 1.7554,              0.0004812,              0.0004812,              0.0004812
                     32,                 1.1683,                 2.6738,                0.39161,                0.97297,                 1.1039,                0.50816,                0.57143,                0.49651,                0.22652,                0.18548,                0.21429,                0.08229,                0.03597,                  1.783,                 7.2625,                0.39357,                 2.2289,                 1.7554,             0.00049315,             0.00049315,             0.00049315
                     33,                 1.1954,                 3.3371,                0.26664,                0.86854,                 1.2081,                0.50816,                0.57143,                0.49651,                0.22652,                0.18548,                0.21429,                0.08229,                0.03597,                  1.783,                 7.2625,                0.39357,                 2.2289,                 1.7554,             0.00050483,             0.00050483,             0.00050483
                     34,                 1.2611,                 2.8933,                0.23736,                0.84497,                 1.3886,                0.43605,                0.55308,                0.45304,                0.20833,                0.14542,                0.21429,                0.07253,                 0.0236,                 1.9664,                 7.5019,                0.41419,                  2.428,                 1.8552,             0.00051625,             0.00051625,             0.00051625
                     35,                 1.3071,                  3.835,                0.37379,                 1.1603,                 1.2818,                0.43605,                0.55308,                0.45304,                0.20833,                0.14542,                0.21429,                0.07253,                 0.0236,                 1.9664,                 7.5019,                0.41419,                  2.428,                 1.8552,             0.00052741,             0.00052741,             0.00052741
                     36,                 1.4676,                  2.426,                0.29675,                 1.0726,                  1.246,                0.43605,                0.55308,                0.45304,                0.20833,                0.14542,                0.21429,                0.07253,                 0.0236,                 1.9664,                 7.5019,                0.41419,                  2.428,                 1.8552,              0.0005383,              0.0005383,              0.0005383
                     37,                 1.0276,                 1.9583,                0.32319,                0.86046,                 1.0515,                0.43605,                0.55308,                0.45304,                0.20833,                0.14542,                0.21429,                0.07253,                 0.0236,                 1.9664,                 7.5019,                0.41419,                  2.428,                 1.8552,             0.00054893,             0.00054893,             0.00054893
                     38,                 1.2296,                 2.4164,                0.29886,                0.91262,                 1.1785,                0.33664,                0.35714,                0.26469,                 0.1344,                0.14778,                0.21429,                 0.0609,                0.01565,                   2.03,                 7.8025,                0.45776,                 2.8109,                  1.881,             0.00055929,             0.00055929,             0.00055929
                     39,                 1.0544,                 2.4208,                0.30493,                 0.7967,                 1.1768,                0.33664,                0.35714,                0.26469,                 0.1344,                0.14778,                0.21429,                 0.0609,                0.01565,                   2.03,                 7.8025,                0.45776,                 2.8109,                  1.881,             0.00056939,             0.00056939,             0.00056939
                     40,                 1.2361,                 2.7868,                0.35162,                 1.0669,                 1.2008,                0.33664,                0.35714,                0.26469,                 0.1344,                0.14778,                0.21429,                 0.0609,                0.01565,                   2.03,                 7.8025,                0.45776,                 2.8109,                  1.881,             0.00057923,             0.00057923,             0.00057923
                     41,                0.73756,                 3.0059,                0.25932,                0.67817,                 1.1259,                0.33664,                0.35714,                0.26469,                 0.1344,                0.14778,                0.21429,                 0.0609,                0.01565,                   2.03,                 7.8025,                0.45776,                 2.8109,                  1.881,              0.0005888,              0.0005888,              0.0005888
                     42,                  1.061,                 2.2293,                0.22772,                0.63762,                 1.0926,                0.41396,                0.35714,                0.27133,                0.10167,                0.08165,                0.21429,                  0.043,                0.01145,                  2.174,                 8.1585,                0.47546,                 3.2116,                 1.9936,             0.00059811,             0.00059811,             0.00059811
                     43,                 1.5934,                 5.0718,                0.34676,                 1.2957,                 1.5459,                0.41396,                0.35714,                0.27133,                0.10167,                0.08165,                0.21429,                  0.043,                0.01145,                  2.174,                 8.1585,                0.47546,                 3.2116,                 1.9936,             0.00060715,             0.00060715,             0.00060715
                     44,                 1.0883,                 3.7452,                 0.4392,                0.92842,                  1.115,                0.41396,                0.35714,                0.27133,                0.10167,                0.08165,                0.21429,                  0.043,                0.01145,                  2.174,                 8.1585,                0.47546,                 3.2116,                 1.9936,             0.00061593,             0.00061593,             0.00061593
                     45,                 1.0239,                 2.8811,                 0.3942,                0.98033,                 1.1014,                0.41396,                0.35714,                0.27133,                0.10167,                0.08165,                0.21429,                  0.043,                0.01145,                  2.174,                 8.1585,                0.47546,                 3.2116,                 1.9936,             0.00062445,             0.00062445,             0.00062445
                     46,                0.97863,                  2.815,                0.41201,                0.77515,                 1.0572,                0.32093,                0.35714,                0.22837,                0.07392,                0.09574,                0.07143,                 0.0331,                0.00913,                 2.3241,                 8.4487,                0.48424,                 3.3795,                 2.1555,              0.0006327,              0.0006327,              0.0006327
                     47,                 1.0546,                 2.9831,                0.31042,                0.88823,                 1.0886,                0.32093,                0.35714,                0.22837,                0.07392,                0.09574,                0.07143,                 0.0331,                0.00913,                 2.3241,                 8.4487,                0.48424,                 3.3795,                 2.1555,             0.00064069,             0.00064069,             0.00064069
                     48,                 1.2513,                 2.7044,                 0.3291,                 1.0594,                 1.3108,                0.32093,                0.35714,                0.22837,                0.07392,                0.09574,                0.07143,                 0.0331,                0.00913,                 2.3241,                 8.4487,                0.48424,                 3.3795,                 2.1555,             0.00064841,             0.00064841,             0.00064841
                     49,                 1.7288,                 2.7846,                0.31956,                 1.4907,                 1.7563,                0.32093,                0.35714,                0.22837,                0.07392,                0.09574,                0.07143,                 0.0331,                0.00913,                 2.3241,                 8.4487,                0.48424,                 3.3795,                 2.1555,             0.00065587,             0.00065587,             0.00065587
                     50,                 1.0705,                 2.7423,                0.32421,                0.86904,                 1.1869,                0.22206,                0.21429,                0.16987,                0.07031,                0.22206,                0.21429,                0.07726,                0.01642,                  2.358,                 8.4214,                0.49321,                  3.619,                 2.2285,             0.00066307,             0.00066307,             0.00066307
                     51,                 1.1657,                 3.1237,                0.30105,                0.89641,                 1.1376,                0.22206,                0.21429,                0.16987,                0.07031,                0.22206,                0.21429,                0.07726,                0.01642,                  2.358,                 8.4214,                0.49321,                  3.619,                 2.2285,                0.00067,                0.00067,                0.00067
                     52,                 1.7154,                 3.3835,                0.32906,                 1.3262,                 1.2512,                0.22206,                0.21429,                0.16987,                0.07031,                0.22206,                0.21429,                0.07726,                0.01642,                  2.358,                 8.4214,                0.49321,                  3.619,                 2.2285,             0.00067667,             0.00067667,             0.00067667
                     53,                 1.3958,                 3.3435,                0.40216,                 1.0702,                 1.1617,                0.22206,                0.21429,                0.16987,                0.07031,                0.22206,                0.21429,                0.07726,                0.01642,                  2.358,                 8.4214,                0.49321,                  3.619,                 2.2285,             0.00068307,             0.00068307,             0.00068307
                     54,                 1.3454,                 4.2987,                0.39283,                 1.0064,                 1.2152,                0.22206,                0.21429,                0.16987,                0.07031,                0.22206,                0.21429,                0.07726,                0.01642,                  2.358,                 8.4214,                0.49321,                  3.619,                 2.2285,             0.00068921,             0.00068921,             0.00068921
                     55,                 1.3185,                 3.2004,                  0.367,                0.85054,                  1.271,                 0.3062,                0.28571,                0.18716,                0.06182,                0.34818,                0.21429,                0.11645,                0.02195,                 2.5251,                 8.5311,                0.47704,                 3.4735,                  2.443,             0.00069509,             0.00069509,             0.00069509
